doc_id,phrase_original_in_doc,phrase_canonical,topic_id,topic_label,concept_id,is_outlier_topic
39,컴퓨팅,컴퓨팅,4,디지털 변환 | 디지털 트윈 | 컴퓨터 프로그램,BT0002,False
40,알루미늄,알루미늄,10,알루미늄 합금,BT0003,False
40,반도체 장치,반도체 장치,5,반도체 장치 | 반도체 디바이스,BT0004,False
40,산화물,산화물,10,알루미늄 합금,BT0003,False
40,반도체,반도체,5,반도체 장치 | 반도체 디바이스,BT0004,False
40,실리콘,실리콘,5,반도체 장치 | 반도체 디바이스,BT0004,False
41,테스트,테스트,11,테스트 코드,BT0015,False
41,애플리케이션,애플리케이션,4,디지털 변환 | 디지털 트윈 | 컴퓨터 프로그램,BT0002,False
41,텍스트,텍스트,1,조성물 | 프로세서 | 촉매,BT0001,False
41,테스트 코드,테스트 코드,11,테스트 코드,BT0015,False
42,플레이트,플레이트,1,조성물 | 프로세서 | 촉매,BT0001,False
42,프로세스,프로세스,1,조성물 | 프로세서 | 촉매,BT0001,False
42,레티클 컨테이너,레티클 컨테이너,1,조성물 | 프로세서 | 촉매,BT0001,False
42,레티클,레티클,1,조성물 | 프로세서 | 촉매,BT0001,False
43,플라즈마,플라즈마,1,조성물 | 프로세서 | 촉매,BT0001,False
44,케이블,케이블,8,케이블 | 단섬유 | 커넥터,BT0011,False
45,방사선,방사선,9,레이저 | 방사선 | 자외선,BT0008,False
45,조성물,조성물,1,조성물 | 프로세서 | 촉매,BT0001,False
46,디지털 트윈,디지털 트윈,4,디지털 변환 | 디지털 트윈 | 컴퓨터 프로그램,BT0002,False
46,디지털,디지털,4,디지털 변환 | 디지털 트윈 | 컴퓨터 프로그램,BT0002,False
52,화학식,화학식,10,알루미늄 합금,BT0003,False
53,접착제,접착제,2,접착제 | 플라스틱 | 폴리머,BT0009,False
53,자동차,자동차,26,자동차 | 드라이버,BT0013,False
53,디스플레이,디스플레이,1,조성물 | 프로세서 | 촉매,BT0001,False
53,아크릴,아크릴,1,조성물 | 프로세서 | 촉매,BT0001,False
53,조성물,조성물,1,조성물 | 프로세서 | 촉매,BT0001,False
53,실리콘,실리콘,5,반도체 장치 | 반도체 디바이스,BT0004,False
54,탄소,탄소,23,탄소,BT0017,False
54,리튬,리튬,10,알루미늄 합금,BT0003,False
54,배터리,배터리,16,배터리,BT0018,False
56,라이트,라이트,1,조성물 | 프로세서 | 촉매,BT0001,False
59,음극,음극,1,조성물 | 프로세서 | 촉매,BT0001,False
59,조성물,조성물,1,조성물 | 프로세서 | 촉매,BT0001,False
59,폴리머,폴리머,2,접착제 | 플라스틱 | 폴리머,BT0009,False
60,프로세서,프로세서,1,조성물 | 프로세서 | 촉매,BT0001,False
60,메모리,메모리,3,메모리 | 인코딩,BT0012,False
60,포인트,포인트,1,조성물 | 프로세서 | 촉매,BT0001,False
60,플라스틱,플라스틱,2,접착제 | 플라스틱 | 폴리머,BT0009,False
61,텍스트,텍스트,1,조성물 | 프로세서 | 촉매,BT0001,False
61,반도체,반도체,5,반도체 장치 | 반도체 디바이스,BT0004,False
63,캐비닛,캐비닛,1,조성물 | 프로세서 | 촉매,BT0001,False
63,가전제품,가전제품,1,조성물 | 프로세서 | 촉매,BT0001,False
64,탄소,탄소,23,탄소,BT0017,False
64,에너지,에너지,0,RF 에너지 | 에너지 발생,BT0006,False
66,테스트,테스트,11,테스트 코드,BT0015,False
67,알루미늄,알루미늄,10,알루미늄 합금,BT0003,False
