phrase_original,phrase_canonical,representative_phrase,df,tf,cleaned_score,canonical_score_proxy,doc_text,phrase_quality_score,is_meaningful_phrase,doc_index,topic_id,is_outlier_topic,topic_label,concept_id
어셈블리,어셈블리,어셈블리,8,19,4.9694,4.9694,어셈블리,1.4,True,40,1,False,조성물 | 프로세서 | 촉매,BT0001
카메라,카메라,카메라,14,33,4.9232,4.9232,카메라,1.4,True,41,7,False,이미지 센서,BT0005
억제제,억제제,억제제,6,14,4.8913,4.8913,억제제,1.4,True,42,1,False,조성물 | 프로세서 | 촉매,BT0001
메탄올,메탄올,메탄올,2,20,4.8874,4.8874,메탄올,1.4,True,43,19,False,메탄올,BT0023
방사선,방사선,방사선,8,21,4.8426,4.8426,방사선,1.4,True,44,9,False,레이저 | 방사선 | 자외선,BT0008
스마트,스마트,스마트,5,15,4.8116,4.8116,스마트,1.4,True,45,1,False,조성물 | 프로세서 | 촉매,BT0001
파이프,파이프,파이프,2,16,4.7541,4.7541,파이프,1.4,True,46,20,False,파이프,BT0024
프로세서,프로세서,프로세서,21,41,4.7405,4.7405,프로세서,1.4,True,47,1,False,조성물 | 프로세서 | 촉매,BT0001
스트림,스트림,스트림,8,20,4.7174,4.7174,스트림,1.4,True,48,1,False,조성물 | 프로세서 | 촉매,BT0001
알루미늄,알루미늄,알루미늄,9,19,4.7134,4.7134,알루미늄,1.4,True,49,10,False,알루미늄 합금,BT0003
모니터링,모니터링,모니터링,5,16,4.7051,4.7051,모니터링,1.4,True,50,18,False,모니터링 시스템,BT0014
인서트,인서트,인서트,6,22,4.686,4.686,인서트,1.4,True,51,1,False,조성물 | 프로세서 | 촉매,BT0001
단백질,단백질,단백질,8,17,4.6507,4.6507,단백질,1.4,True,52,14,False,단백질,BT0021
실시간,실시간,실시간,5,15,4.6384,4.6384,실시간,1.4,True,53,1,False,조성물 | 프로세서 | 촉매,BT0001
단섬유,단섬유,단섬유,2,14,4.6207,4.6207,단섬유,1.4,True,54,8,False,케이블 | 단섬유 | 커넥터,BT0011
디스플레이,디스플레이,디스플레이,13,42,4.613,4.613,디스플레이,1.4,True,55,1,False,조성물 | 프로세서 | 촉매,BT0001
산화물,산화물,산화물,8,35,4.5906,4.5906,산화물,1.4,True,56,10,False,알루미늄 합금,BT0003
텍스트,텍스트,텍스트,7,15,4.5538,4.5538,텍스트,1.4,True,57,1,False,조성물 | 프로세서 | 촉매,BT0001
와이어,와이어,와이어,6,24,4.534,4.534,와이어,1.4,True,58,1,False,조성물 | 프로세서 | 촉매,BT0001
단말기,단말기,단말기,6,19,4.534,4.534,단말기,1.4,True,59,1,False,조성물 | 프로세서 | 촉매,BT0001
플라스틱,플라스틱,플라스틱,6,15,4.486,4.486,플라스틱,1.4,True,60,2,False,접착제 | 플라스틱 | 폴리머,BT0009
케이블,케이블,케이블,5,18,4.4784,4.4784,케이블,1.4,True,61,8,False,케이블 | 단섬유 | 커넥터,BT0011
플레이트,플레이트,플레이트,7,19,4.476,4.476,플레이트,1.4,True,62,1,False,조성물 | 프로세서 | 촉매,BT0001
가전제품,가전제품,가전제품,2,11,4.4207,4.4207,가전제품,1.4,True,63,1,False,조성물 | 프로세서 | 촉매,BT0001
컴퓨터,컴퓨터,컴퓨터,15,27,4.4,4.4,컴퓨터,1.4,True,64,4,False,디지털 변환 | 디지털 트윈 | 컴퓨터 프로그램,BT0002
게이트,게이트,게이트,7,26,4.3394,4.3394,게이트,1.4,True,65,1,False,조성물 | 프로세서 | 촉매,BT0001
포인트,포인트,포인트,7,20,4.3352,4.3352,포인트,1.4,True,66,1,False,조성물 | 프로세서 | 촉매,BT0001
스펜서,스펜서,스펜서,2,9,4.2874,4.2874,스펜서,1.4,True,67,1,False,조성물 | 프로세서 | 촉매,BT0001
레이트,레이트,레이트,6,14,4.2673,4.2673,레이트,1.4,True,68,24,False,레이트 | 파일럿 | AAV,BT0010
트레이,트레이,트레이,7,46,4.217,4.217,트레이,1.4,True,69,1,False,조성물 | 프로세서 | 촉매,BT0001
자동차,자동차,자동차,6,8,4.1713,4.1713,자동차,1.4,True,70,26,False,자동차 | 드라이버,BT0013
