phrase,tf,df,ngram,char_len,is_protected,noise_penalty,completeness_penalty,base_quality,title_df,claims_df,title_ratio,claims_ratio,title_boost,claims_support_score,support_penalty,final_score,drop_flag,drop_reason,generic_penalty,cleaned_score
프로세스,22,12,1,4,False,0.0,0.0,3.4,3,5,0.25,0.4167,0.48,0.5834,0.0,4.4427,False,,0.0,4.4427
가전제품,11,2,1,4,False,0.0,0.0,1.9833,2,2,1.0,1.0,1.32,1.0667,0.0,4.4207,False,,0.0,4.4207
컴퓨터,27,15,1,3,False,0.0,0.0,3.4,10,14,0.6667,0.9333,1.4,1.4,0.0,6.2,False,,1.8,4.4
에너지 발생,6,2,2,5,False,0.0,0.0,1.95,2,2,1.0,1.0,1.32,1.0667,0.0,4.3874,False,,0.0,4.3874
케이스,43,7,1,3,False,0.0,0.0,3.075,1,7,0.1429,1.0,0.2315,1.2333,0.0,4.3394,False,,0.0,4.3394
게이트,26,7,1,3,False,0.0,0.0,3.075,1,7,0.1429,1.0,0.2315,1.2333,0.0,4.3394,False,,0.0,4.3394
포인트,20,7,1,3,False,0.0,0.0,3.075,2,5,0.2857,0.7143,0.4628,0.881,0.0,4.3352,False,,0.0,4.3352
디지털 변환,5,2,2,5,False,0.0,0.0,1.8833,2,2,1.0,1.0,1.32,1.0667,0.0,4.3207,False,,0.0,4.3207
디지털 트윈,5,2,2,5,False,0.0,0.0,1.8833,2,2,1.0,1.0,1.32,1.0667,0.0,4.3207,False,,0.0,4.3207
스펜서,9,2,1,3,False,0.0,0.0,1.85,2,2,1.0,1.0,1.32,1.0667,0.0,4.2874,False,,0.0,4.2874
레이트,14,6,1,3,False,0.0,0.0,2.6833,2,6,0.3333,1.0,0.52,1.2,0.0,4.2673,False,,0.0,4.2673
알루미늄 합금,4,2,2,6,True,0.0,0.0,2.6167,1,2,0.5,1.0,0.66,1.0667,0.0,4.2621,False,,0.0,4.2621
윤활유 조성,4,2,2,5,False,0.0,0.0,1.8167,2,2,1.0,1.0,1.32,1.0667,0.0,4.2541,False,,0.0,4.2541
반도체 디바이스,10,2,2,7,True,0.0,0.0,3.0167,1,1,0.5,0.5,0.66,0.5333,0.0,4.2353,False,,0.0,4.2353
트레이,46,7,1,3,False,0.0,0.4,2.675,2,7,0.2857,1.0,0.4628,1.2333,0.0,4.217,False,,0.0,4.217
프레임,82,24,1,3,False,0.0,0.0,2.8,2,22,0.0833,0.9167,0.22,1.4167,0.0,4.1974,False,,0.0,4.1974
컨테이너,13,6,1,4,False,0.0,0.0,2.6167,3,4,0.5,0.6667,0.78,0.8,0.0,4.1927,False,,0.0,4.1927
디바이스,54,23,1,4,False,0.0,0.0,3.4,14,20,0.6087,0.8696,1.3304,1.3696,0.0,6.0922,False,,1.9000000000000001,4.1922
자동차,8,6,1,3,False,0.0,0.0,2.2833,4,4,0.6667,0.6667,1.04,0.8,0.0,4.1713,False,,0.0,4.1713
플랫폼,12,3,1,3,False,0.0,0.0,2.175,2,3,0.6667,1.0,0.92,1.1,0.0,4.159,False,,0.0,4.159
마이오,7,2,1,3,False,0.0,0.0,1.7167,2,2,1.0,1.0,1.32,1.0667,0.0,4.1541,False,,0.0,4.1541
청정기,7,2,1,3,False,0.0,0.0,1.7167,2,2,1.0,1.0,1.32,1.0667,0.0,4.1541,False,,0.0,4.1541
인코딩,13,7,1,3,False,0.0,0.0,2.7417,2,6,0.2857,0.8571,0.4628,1.0571,0.0,4.1427,False,,0.0,4.1427
파라미터,18,9,1,4,False,0.0,0.0,3.325,0,7,0.0,0.7778,0.0,1.0111,0.0,4.1339,False,,0.0,4.1339
컴퓨터 판독,2,2,2,5,False,0.0,0.0,1.6833,2,2,1.0,1.0,1.32,1.0667,0.0,4.1207,False,,0.0,4.1207
테스트 코드,8,2,2,5,False,0.0,0.0,2.0833,2,1,1.0,0.5,1.32,0.5333,0.0,4.0939,False,,0.0,4.0939
혼합물,16,6,1,3,False,0.0,0.0,2.8167,1,6,0.1667,1.0,0.26,1.2,0.0,4.0887,False,,0.0,4.0887
가이드,19,10,1,3,False,0.0,0.0,3.4,0,10,0.0,1.0,0.0,1.3333,0.4,4.0666,False,,0.0,4.0666
전해질,15,6,1,3,True,0.0,0.0,3.55,3,6,0.5,1.0,0.78,1.2,0.0,5.446,False,,1.4,4.045999999999999
주파수,13,6,1,3,False,0.0,0.0,2.6167,2,5,0.3333,0.8333,0.52,1.0,0.0,4.0407,False,,0.0,4.0407
AAV,4,2,1,3,True,0.0,0.0,2.0167,2,1,1.0,0.5,1.32,0.5333,0.0,4.0273,False,,0.0,4.0273
베이스,26,12,1,3,False,0.0,0.0,3.4,0,11,0.0,0.9167,0.0,1.2834,0.4,4.0267,False,,0.0,4.0267
백라이트,5,2,1,4,False,0.0,0.0,1.5833,2,2,1.0,1.0,1.32,1.0667,0.0,4.0207,False,,0.0,4.0207
아크릴,13,7,1,3,False,0.0,0.0,2.7417,1,7,0.1429,1.0,0.2315,1.2333,0.0,4.0061,False,,0.0,4.0061
업데이트,11,4,1,4,False,0.0,0.0,2.2333,2,4,0.5,1.0,0.72,1.1333,0.0,4.0039,False,,0.0,4.0039
지지대,17,4,1,3,False,0.0,0.0,2.6333,1,4,0.25,1.0,0.36,1.1333,0.0,3.9719,False,,0.0,3.9719
프로그램 제품,6,5,2,6,False,0.0,0.0,2.325,3,3,0.6,0.6,0.9,0.7,0.0,3.965,False,,0.0,3.965
카트리지,9,3,1,4,False,0.0,0.0,1.975,2,3,0.6667,1.0,0.92,1.1,0.0,3.959,False,,0.0,3.959
윤활유,4,2,1,3,False,0.0,0.0,1.5167,2,2,1.0,1.0,1.32,1.0667,0.0,3.9541,False,,0.0,3.9541
컴퓨팅,16,6,1,3,False,0.0,0.0,2.8167,1,5,0.1667,0.8333,0.26,1.0,0.0,3.9287,False,,0.0,3.9287
파일럿,15,2,1,3,False,0.0,0.0,2.25,1,2,0.5,1.0,0.66,1.0667,0.0,3.8954,False,,0.0,3.8954
레티클 컨테이너,5,2,2,7,False,0.0,0.0,1.8833,2,1,1.0,0.5,1.32,0.5333,0.0,3.8939,False,,0.0,3.8939
전자파 차폐,5,2,2,5,False,0.0,0.0,1.8833,2,1,1.0,0.5,1.32,0.5333,0.0,3.8939,False,,0.0,3.8939
열처리,13,6,1,3,False,0.0,0.0,2.6167,1,6,0.1667,1.0,0.26,1.2,0.0,3.8887,False,,0.0,3.8887
그리퍼,3,2,1,3,False,0.0,0.0,1.45,2,2,1.0,1.0,1.32,1.0667,0.0,3.8874,False,,0.0,3.8874
라이트,8,4,1,3,False,0.0,0.0,2.0333,2,4,0.5,1.0,0.72,1.1333,0.0,3.8039,False,,0.0,3.8039
HARQ,6,2,1,4,True,0.0,0.0,2.15,1,2,0.5,1.0,0.66,1.0667,0.0,3.7954,False,,0.0,3.7954
ACK,6,2,1,3,True,0.0,0.0,2.15,1,2,0.5,1.0,0.66,1.0667,0.0,3.7954,False,,0.0,3.7954
바이러스,6,3,1,4,False,0.0,0.0,1.775,2,3,0.6667,1.0,0.92,1.1,0.0,3.759,False,,0.0,3.759
트랜지스터,26,6,1,5,False,0.0,0.0,2.95,0,5,0.0,0.8333,0.0,1.0,0.0,3.75,False,,0.0,3.75
카운터,14,3,1,3,False,0.0,0.0,2.3083,1,3,0.3333,1.0,0.46,1.1,0.0,3.7403,False,,0.0,3.7403
캐비닛,14,3,1,3,False,0.0,0.0,2.3083,1,3,0.3333,1.0,0.46,1.1,0.0,3.7403,False,,0.0,3.7403
포토레지스트,7,5,1,6,False,0.0,0.0,2.0917,3,3,0.6,0.6,0.9,0.7,0.0,3.7317,False,,0.0,3.7317
모니터링 시스템,8,2,2,7,False,0.0,0.0,2.0833,1,2,0.5,1.0,0.66,1.0667,0.0,3.7287,False,,0.0,3.7287
나트륨 이온,8,2,2,5,False,0.0,0.0,2.0833,1,2,0.5,1.0,0.66,1.0667,0.0,3.7287,False,,0.0,3.7287
레티클,7,2,1,3,False,0.0,0.0,1.7167,2,1,1.0,0.5,1.32,0.5333,0.0,3.7273,False,,0.0,3.7273
