doc_id,phrase_original_in_doc,phrase_canonical,is_outlier_topic,topic_id,topic_label,concept_id
178,조성물,조성물,False,1,윤활유 조성,BT0002
179,트레이,트레이,False,29,프로세서,BT0030
180,음극,음극,False,29,프로세서,BT0030
180,복합체,복합체,False,29,프로세서,BT0030
180,탄소,탄소,False,23,탄소,BT0024
180,리튬,리튬,False,10,알루미늄,BT0011
180,실리콘,실리콘,False,5,반도체,BT0006
183,포인트,포인트,False,29,프로세서,BT0030
184,촉매,촉매,False,29,프로세서,BT0030
184,산화물,산화물,False,10,알루미늄,BT0011
185,지지대,지지대,False,29,프로세서,BT0030
186,게이트,게이트,False,29,프로세서,BT0030
186,알루미늄,알루미늄,False,10,알루미늄,BT0011
186,반도체 장치,반도체 장치,False,5,반도체,BT0006
186,반도체,반도체,False,5,반도체,BT0006
186,실리콘,실리콘,False,5,반도체,BT0006
187,텍스트,텍스트,False,29,프로세서,BT0030
187,사용자 단말,사용자 단말,False,29,프로세서,BT0030
187,이미지,이미지,False,7,이미지,BT0008
188,반도체,반도체,False,5,반도체,BT0006
192,레이트,레이트,False,24,레이트,BT0025
194,어셈블리,어셈블리,False,29,프로세서,BT0030
195,컴퓨팅,컴퓨팅,False,4,컴퓨터,BT0005
196,와이어,와이어,False,29,프로세서,BT0030
196,카메라,카메라,False,7,이미지,BT0008
197,레이저,레이저,False,9,레이저,BT0010
197,실시간,실시간,False,28,실시간,BT0029
198,플레이트,플레이트,False,29,프로세서,BT0030
199,조성물,조성물,False,1,윤활유 조성,BT0002
200,프로세서,프로세서,False,29,프로세서,BT0030
200,카메라,카메라,False,7,이미지,BT0008
201,플레이트,플레이트,False,29,프로세서,BT0030
201,단섬유,단섬유,False,8,케이블,BT0009
202,레이저,레이저,False,9,레이저,BT0010
203,유전자,유전자,False,21,유전자,BT0022
204,라이트,라이트,False,29,프로세서,BT0030
204,이미지,이미지,False,7,이미지,BT0008
205,케이블,케이블,False,8,케이블,BT0009
207,텍스트,텍스트,False,29,프로세서,BT0030
207,가전제품,가전제품,False,29,프로세서,BT0030
210,에너지,에너지,False,0,에너지,BT0001
211,아크릴,아크릴,False,29,프로세서,BT0030
211,방향족,방향족,False,29,프로세서,BT0030
211,레이트,레이트,False,24,레이트,BT0025
211,조성물,조성물,False,1,윤활유 조성,BT0002
212,조성물,조성물,False,1,윤활유 조성,BT0002
215,와이어,와이어,False,29,프로세서,BT0030
216,디스플레이,디스플레이,False,29,프로세서,BT0030
216,프로세서,프로세서,False,29,프로세서,BT0030
218,프로세서,프로세서,False,29,프로세서,BT0030
220,디스플레이,디스플레이,False,29,프로세서,BT0030
220,카메라,카메라,False,7,이미지,BT0008
220,이미지,이미지,False,7,이미지,BT0008
221,프로세서,프로세서,False,29,프로세서,BT0030
221,메모리,메모리,False,3,메모리,BT0004
221,컴퓨팅,컴퓨팅,False,4,컴퓨터,BT0005
223,사용자 단말,사용자 단말,False,29,프로세서,BT0030
223,스마트,스마트,False,29,프로세서,BT0030
226,자동차,자동차,False,26,자동차,BT0027
229,테스트,테스트,False,11,테스트,BT0012
230,카메라,카메라,False,7,이미지,BT0008
231,지지대,지지대,False,29,프로세서,BT0030
232,탄소,탄소,False,23,탄소,BT0024
232,조성물,조성물,False,1,윤활유 조성,BT0002
232,프로세스,프로세스,False,29,프로세서,BT0030
232,반도체 장치,반도체 장치,False,5,반도체,BT0006
232,반도체,반도체,False,5,반도체,BT0006
234,디스플레이,디스플레이,False,29,프로세서,BT0030
235,라이트,라이트,False,29,프로세서,BT0030
236,에너지,에너지,False,0,에너지,BT0001
236,배터리,배터리,False,16,배터리,BT0017
237,자동차,자동차,False,26,자동차,BT0027
237,플라스틱,플라스틱,False,2,접착제,BT0003
240,조성물,조성물,False,1,윤활유 조성,BT0002
242,지지대,지지대,False,29,프로세서,BT0030
243,에너지,에너지,False,0,에너지,BT0001
244,게이트,게이트,False,29,프로세서,BT0030
244,이벤트,이벤트,False,29,프로세서,BT0030
245,트레이,트레이,False,29,프로세서,BT0030
246,자외선,자외선,False,9,레이저,BT0010
246,반도체,반도체,False,5,반도체,BT0006
248,이미지 센서,이미지 센서,False,7,이미지,BT0008
248,디스플레이,디스플레이,False,29,프로세서,BT0030
248,이미지,이미지,False,7,이미지,BT0008
248,프로세서,프로세서,False,29,프로세서,BT0030
248,메모리,메모리,False,3,메모리,BT0004
252,초음파 발생,초음파 발생,False,27,오디오,BT0028
252,초음파,초음파,False,29,프로세서,BT0030
254,스펜서,스펜서,False,29,프로세서,BT0030
254,플라스틱,플라스틱,False,2,접착제,BT0003
256,초음파 발생,초음파 발생,False,27,오디오,BT0028
256,초음파,초음파,False,29,프로세서,BT0030
257,중합체,중합체,False,29,프로세서,BT0030
258,그리퍼,그리퍼,False,29,프로세서,BT0030
261,촉매,촉매,False,29,프로세서,BT0030
261,복합체,복합체,False,29,프로세서,BT0030
264,촉매,촉매,False,29,프로세서,BT0030
264,플라즈마,플라즈마,False,29,프로세서,BT0030
264,모니터링,모니터링,False,18,모니터링,BT0019
265,지지대,지지대,False,29,프로세서,BT0030
266,플라스틱,플라스틱,False,2,접착제,BT0003
269,자동차,자동차,False,26,자동차,BT0027
269,배터리,배터리,False,16,배터리,BT0017
270,카메라,카메라,False,7,이미지,BT0008
271,촉매,촉매,False,29,프로세서,BT0030
271,탄소,탄소,False,23,탄소,BT0024
273,프로세서,프로세서,False,29,프로세서,BT0030
274,케이블,케이블,False,8,케이블,BT0009
276,컴퓨터 프로그램,컴퓨터 프로그램,False,4,컴퓨터,BT0005
276,프로그램 제품,프로그램 제품,False,4,컴퓨터,BT0005
276,컴퓨터 판독,컴퓨터 판독,False,4,컴퓨터,BT0005
276,컴퓨터,컴퓨터,False,4,컴퓨터,BT0005
277,방사선,방사선,False,9,레이저,BT0010
279,스마트,스마트,False,29,프로세서,BT0030
281,스테이션,스테이션,False,29,프로세서,BT0030
281,트레이,트레이,False,29,프로세서,BT0030
281,메탄올,메탄올,False,19,메탄올,BT0020
284,에너지 발생,에너지 발생,False,0,에너지,BT0001
284,RF 에너지,RF 에너지,False,0,에너지,BT0001
