phrase,tf,df,ngram,char_len,is_protected,noise_penalty,completeness_penalty,base_quality,title_df,claims_df,title_ratio,claims_ratio,title_boost,claims_support_score,support_penalty,final_score,drop_flag,drop_reason,generic_penalty,cleaned_score
비수 나트륨 이온 전지,6,1,4,9,True,0.0,0.0,2.625,1,1,1.0,1.0,1.26,1.0333,0.0,4.9636,True,fragment_like,0.0,4.9636
이즈 피치 조성물,6,1,3,7,True,0.0,0.0,2.625,1,1,1.0,1.0,1.26,1.0333,0.0,4.9636,True,fragment_like,0.0,4.9636
배터리 케이스,6,1,2,6,True,0.0,0.0,2.625,1,1,1.0,1.0,1.26,1.0333,0.0,4.9636,True,singleton_weak_phrase,0.0,4.9636
이온 전지,9,2,2,4,True,0.0,0.0,2.95,2,1,1.0,0.5,1.32,0.5333,0.0,4.9606,True,fragment_like,0.0,4.9606
인공,14,8,1,2,False,0.0,0.0,2.9333,5,6,0.625,0.75,1.05,0.95,0.0,4.9533,True,short_unigram,0.0,4.9533
추출,41,20,1,2,False,0.0,0.0,3.4,3,18,0.15,0.9,0.36,1.4,0.0,4.952,True,short_unigram,0.0,4.952
이차,12,4,1,2,False,0.0,0.0,2.3,4,4,1.0,1.0,1.44,1.1333,0.0,4.9346,True,short_unigram,0.0,4.9346
AB 테스트,7,1,2,5,False,0.0,0.0,2.5917,1,1,1.0,1.0,1.26,1.0333,0.0,4.9303,True,singleton_weak_phrase,0.0,4.9303
세레비지애 LRCC8293,1,1,2,13,False,0.0,0.0,2.5917,1,1,1.0,1.0,1.26,1.0333,0.0,4.9303,True,singleton_weak_phrase,0.0,4.9303
속 WF1균,1,1,2,5,False,0.0,0.0,2.5917,1,1,1.0,1.0,1.26,1.0333,0.0,4.9303,True,fragment_like,0.0,4.9303
속 WF1,1,1,2,4,False,0.0,0.0,2.5917,1,1,1.0,1.0,1.26,1.0333,0.0,4.9303,True,fragment_like,0.0,4.9303
전극,118,27,1,2,False,0.0,0.0,2.6,9,27,0.3333,1.0,0.94,1.5,0.0,4.928,True,short_unigram,2.1,2.828
카메라,33,14,1,3,False,0.0,0.0,3.4,2,14,0.1429,1.0,0.2915,1.4667,0.0,4.9232,False,,0.0,4.9232
함유,61,29,1,2,False,0.0,0.0,3.4,4,23,0.1379,0.7931,0.4055,1.2931,0.0,4.9211,True,short_unigram,0.0,4.9211
간격,26,17,1,2,False,0.0,0.0,3.4,2,17,0.1176,1.0,0.2611,1.5,0.0,4.9133,True,short_unigram,0.0,4.9133
예방,20,10,1,2,False,0.0,0.0,3.4,4,6,0.4,0.6,0.72,0.8,0.0,4.904,True,short_unigram,0.0,4.904
1234YF 조성물,1,1,2,9,True,0.0,0.0,3.3917,1,0,1.0,0.0,1.26,0.0,0.0,4.9037,True,fragment_like,0.0,4.9037
펄스,25,4,1,2,False,0.0,0.0,2.7,3,4,0.75,1.0,1.08,1.1333,0.0,4.9026,True,short_unigram,0.0,4.9026
코드,49,10,1,2,False,0.0,0.0,3.4,3,8,0.3,0.8,0.54,1.0667,0.0,4.9014,True,short_unigram,0.0,4.9014
가열,21,10,1,2,False,0.0,0.0,3.4,3,8,0.3,0.8,0.54,1.0667,0.0,4.9014,True,short_unigram,0.0,4.9014
산화,31,11,1,2,False,0.0,0.0,3.4,2,11,0.1818,1.0,0.3382,1.3667,0.0,4.8992,True,short_unigram,0.0,4.8992
경질 재료 코팅 제동 요소,5,1,5,10,True,0.0,0.0,2.5583,1,1,1.0,1.0,1.26,1.0333,0.0,4.8969,True,fragment_like,0.0,4.8969
경질 재료 코팅 제동,5,1,4,8,True,0.0,0.0,2.5583,1,1,1.0,1.0,1.26,1.0333,0.0,4.8969,True,fragment_like,0.0,4.8969
재료 코팅 제동 요소,5,1,4,8,True,0.0,0.0,2.5583,1,1,1.0,1.0,1.26,1.0333,0.0,4.8969,True,fragment_like,0.0,4.8969
자외선 발광 반도체,5,1,3,8,True,0.0,0.0,2.5583,1,1,1.0,1.0,1.26,1.0333,0.0,4.8969,True,singleton_weak_phrase,0.0,4.8969
경질 재료 코팅,5,1,3,6,True,0.0,0.0,2.5583,1,1,1.0,1.0,1.26,1.0333,0.0,4.8969,True,fragment_like,0.0,4.8969
재료 코팅 제동,5,1,3,6,True,0.0,0.0,2.5583,1,1,1.0,1.0,1.26,1.0333,0.0,4.8969,True,fragment_like,0.0,4.8969
코팅 제동 요소,5,1,3,6,True,0.0,0.0,2.5583,1,1,1.0,1.0,1.26,1.0333,0.0,4.8969,True,fragment_like,0.0,4.8969
잉크 조성물,5,1,2,5,True,0.0,0.0,2.5583,1,1,1.0,1.0,1.26,1.0333,0.0,4.8969,True,fragment_like,0.0,4.8969
발광 반도체,5,1,2,5,True,0.0,0.0,2.5583,1,1,1.0,1.0,1.26,1.0333,0.0,4.8969,True,fragment_like,0.0,4.8969
