phrase,tf,df,ngram,char_len,is_protected,noise_penalty,completeness_penalty,base_quality,title_df,claims_df,title_ratio,claims_ratio,title_boost,claims_support_score,support_penalty,final_score,drop_flag,drop_reason,generic_penalty,cleaned_score,phrase_original,phrase_canonical,representative_phrase,canonical_family_size,canonical_df_proxy,canonical_score_proxy
파이프,16,2,1,3,False,0.0,0.0,2.3167,2,2,1.0,1.0,1.32,1.0667,0.0,4.7541,False,,0.0,4.7541,파이프,파이프,파이프,1,2,4.7541
구조체,22,7,1,3,False,0.0,0.0,3.075,3,6,0.4286,0.8571,0.6943,1.0571,0.0,4.7538,False,,0.0,4.7538,구조체,구조체,구조체,1,7,4.7538
프로세서,41,21,1,4,False,0.0,0.0,3.4,1,21,0.0476,1.0,0.1171,1.5,0.0,4.7405,False,,0.0,4.7405,프로세서,프로세서,프로세서,1,21,4.7405
스트림,20,8,1,3,False,0.0,0.0,3.2,2,8,0.25,1.0,0.42,1.2667,0.0,4.7174,False,,0.0,4.7174,스트림,스트림,스트림,1,8,4.7174
알루미늄,19,9,1,4,False,0.0,0.0,3.325,2,8,0.2222,0.8889,0.3866,1.1556,0.0,4.7134,False,,0.0,4.7134,알루미늄,알루미늄,알루미늄,1,9,4.7134
애플리케이션,16,5,1,6,False,0.0,0.0,2.6917,3,5,0.6,1.0,0.9,1.1667,0.0,4.7051,False,,0.0,4.7051,애플리케이션,애플리케이션,애플리케이션,1,5,4.7051
모니터링,16,5,1,4,False,0.0,0.0,2.6917,3,5,0.6,1.0,0.9,1.1667,0.0,4.7051,False,,0.0,4.7051,모니터링,모니터링,모니터링,1,5,4.7051
콘텐츠,34,11,1,3,False,0.0,0.0,3.4,2,9,0.1818,0.8182,0.3382,1.1182,0.0,4.7004,False,,0.0,4.7004,콘텐츠,콘텐츠,콘텐츠,1,11,4.7004
인서트,22,6,1,3,False,0.0,0.0,2.95,3,5,0.5,0.8333,0.78,1.0,0.0,4.686,False,,0.0,4.686,인서트,인서트,인서트,1,6,4.686
단백질,17,8,1,3,False,0.0,0.0,3.1333,2,8,0.25,1.0,0.42,1.2667,0.0,4.6507,False,,0.0,4.6507,단백질,단백질,단백질,1,8,4.6507
실시간,15,5,1,3,False,0.0,0.0,2.625,3,5,0.6,1.0,0.9,1.1667,0.0,4.6384,False,,0.0,4.6384,실시간,실시간,실시간,1,5,4.6384
단섬유,14,2,1,3,False,0.0,0.0,2.1833,2,2,1.0,1.0,1.32,1.0667,0.0,4.6207,False,,0.0,4.6207,단섬유,단섬유,단섬유,1,2,4.6207
디스플레이,42,13,1,5,False,0.0,0.4,3.0,4,10,0.3077,0.7692,0.6092,1.1025,0.0,4.613,False,,0.0,4.613,디스플레이,디스플레이,디스플레이,1,13,4.613
실리콘,26,9,1,3,False,0.0,0.0,3.325,2,7,0.2222,0.7778,0.3866,1.0111,0.0,4.5978,False,,0.0,4.5978,실리콘,실리콘,실리콘,1,9,4.5978
프로그램,20,16,1,4,False,0.0,0.0,3.4,12,13,0.75,0.8125,1.5,1.2458,0.0,6.1966,False,,1.6,4.5966000000000005,프로그램,프로그램,프로그램,1,16,4.5966000000000005
산화물,35,8,1,3,False,0.0,0.0,3.2,2,7,0.25,0.875,0.42,1.1083,0.0,4.5906,False,,0.0,4.5906,산화물,산화물,산화물,1,8,4.5906
탄소,30,14,1,2,False,0.0,0.0,3.4,2,10,0.1429,0.7143,0.2915,1.0476,0.0,4.5879,False,,0.0,4.5879,탄소,탄소,탄소,1,14,4.5879
텍스트,15,7,1,3,False,0.0,0.0,2.875,3,6,0.4286,0.8571,0.6943,1.0571,0.0,4.5538,False,,0.0,4.5538,텍스트,텍스트,텍스트,1,7,4.5538
와이어,24,6,1,3,False,0.0,0.0,2.95,2,6,0.3333,1.0,0.52,1.2,0.0,4.534,False,,0.0,4.534,와이어,와이어,와이어,1,6,4.534
단말기,19,6,1,3,False,0.0,0.0,2.95,2,6,0.3333,1.0,0.52,1.2,0.0,4.534,False,,0.0,4.534,단말기,단말기,단말기,1,6,4.534
초음파 발생,8,2,2,5,False,0.0,0.0,2.0833,2,2,1.0,1.0,1.32,1.0667,0.0,4.5207,False,,0.0,4.5207,초음파 발생,초음파 발생,초음파 발생,1,2,4.5207
초음파,12,4,1,3,False,0.0,0.0,2.3,3,4,0.75,1.0,1.08,1.1333,0.0,4.5026,False,,0.0,4.5026,초음파,초음파,초음파,1,4,4.5026
플라스틱,15,6,1,4,False,0.0,0.0,2.75,3,5,0.5,0.8333,0.78,1.0,0.0,4.486,False,,0.0,4.486,플라스틱,플라스틱,플라스틱,1,6,4.486
케이블,18,5,1,3,False,0.0,0.0,2.825,2,5,0.4,1.0,0.6,1.1667,0.0,4.4784,False,,0.0,4.4784,케이블,케이블,케이블,1,5,4.4784
플레이트,19,7,1,4,False,0.0,0.0,3.075,2,6,0.2857,0.8571,0.4628,1.0571,0.0,4.476,False,,0.0,4.476,플레이트,플레이트,플레이트,1,7,4.476
복합체,8,3,1,3,False,0.0,0.0,1.9083,3,3,1.0,1.0,1.38,1.1,0.0,4.4443,False,,0.0,4.4443,복합체,복합체,복합체,1,3,4.4443
프로세스,22,12,1,4,False,0.0,0.0,3.4,3,5,0.25,0.4167,0.48,0.5834,0.0,4.4427,False,,0.0,4.4427,프로세스,프로세스,프로세스,1,12,4.4427
가전제품,11,2,1,4,False,0.0,0.0,1.9833,2,2,1.0,1.0,1.32,1.0667,0.0,4.4207,False,,0.0,4.4207,가전제품,가전제품,가전제품,1,2,4.4207
컴퓨터,27,15,1,3,False,0.0,0.0,3.4,10,14,0.6667,0.9333,1.4,1.4,0.0,6.2,False,,1.8,4.4,컴퓨터,컴퓨터,컴퓨터,1,15,4.4
에너지 발생,6,2,2,5,False,0.0,0.0,1.95,2,2,1.0,1.0,1.32,1.0667,0.0,4.3874,False,,0.0,4.3874,에너지 발생,에너지 발생,에너지 발생,1,2,4.3874
케이스,43,7,1,3,False,0.0,0.0,3.075,1,7,0.1429,1.0,0.2315,1.2333,0.0,4.3394,False,,0.0,4.3394,케이스,케이스,케이스,1,7,4.3394
게이트,26,7,1,3,False,0.0,0.0,3.075,1,7,0.1429,1.0,0.2315,1.2333,0.0,4.3394,False,,0.0,4.3394,게이트,게이트,게이트,1,7,4.3394
포인트,20,7,1,3,False,0.0,0.0,3.075,2,5,0.2857,0.7143,0.4628,0.881,0.0,4.3352,False,,0.0,4.3352,포인트,포인트,포인트,1,7,4.3352
디지털 변환,5,2,2,5,False,0.0,0.0,1.8833,2,2,1.0,1.0,1.32,1.0667,0.0,4.3207,False,,0.0,4.3207,디지털 변환,디지털 변환,디지털 변환,1,2,4.3207
디지털 트윈,5,2,2,5,False,0.0,0.0,1.8833,2,2,1.0,1.0,1.32,1.0667,0.0,4.3207,False,,0.0,4.3207,디지털 트윈,디지털 트윈,디지털 트윈,1,2,4.3207
스펜서,9,2,1,3,False,0.0,0.0,1.85,2,2,1.0,1.0,1.32,1.0667,0.0,4.2874,False,,0.0,4.2874,스펜서,스펜서,스펜서,1,2,4.2874
레이트,14,6,1,3,False,0.0,0.0,2.6833,2,6,0.3333,1.0,0.52,1.2,0.0,4.2673,False,,0.0,4.2673,레이트,레이트,레이트,1,6,4.2673
알루미늄 합금,4,2,2,6,True,0.0,0.0,2.6167,1,2,0.5,1.0,0.66,1.0667,0.0,4.2621,False,,0.0,4.2621,알루미늄 합금,알루미늄 합금,알루미늄 합금,1,2,4.2621
윤활유 조성,4,2,2,5,False,0.0,0.0,1.8167,2,2,1.0,1.0,1.32,1.0667,0.0,4.2541,False,,0.0,4.2541,윤활유 조성,윤활유 조성,윤활유 조성,1,2,4.2541
반도체 디바이스,10,2,2,7,True,0.0,0.0,3.0167,1,1,0.5,0.5,0.66,0.5333,0.0,4.2353,False,,0.0,4.2353,반도체 디바이스,반도체 디바이스,반도체 디바이스,1,2,4.2353
트레이,46,7,1,3,False,0.0,0.4,2.675,2,7,0.2857,1.0,0.4628,1.2333,0.0,4.217,False,,0.0,4.217,트레이,트레이,트레이,1,7,4.217
프레임,82,24,1,3,False,0.0,0.0,2.8,2,22,0.0833,0.9167,0.22,1.4167,0.0,4.1974,False,,0.0,4.1974,프레임,프레임,프레임,1,24,4.1974
컨테이너,13,6,1,4,False,0.0,0.0,2.6167,3,4,0.5,0.6667,0.78,0.8,0.0,4.1927,False,,0.0,4.1927,컨테이너,컨테이너,컨테이너,1,6,4.1927
디바이스,54,23,1,4,False,0.0,0.0,3.4,14,20,0.6087,0.8696,1.3304,1.3696,0.0,6.0922,False,,1.9,4.1922,디바이스,디바이스,디바이스,1,23,4.1922
자동차,8,6,1,3,False,0.0,0.0,2.2833,4,4,0.6667,0.6667,1.04,0.8,0.0,4.1713,False,,0.0,4.1713,자동차,자동차,자동차,1,6,4.1713
플랫폼,12,3,1,3,False,0.0,0.0,2.175,2,3,0.6667,1.0,0.92,1.1,0.0,4.159,False,,0.0,4.159,플랫폼,플랫폼,플랫폼,1,3,4.159
마이오,7,2,1,3,False,0.0,0.0,1.7167,2,2,1.0,1.0,1.32,1.0667,0.0,4.1541,False,,0.0,4.1541,마이오,마이오,마이오,1,2,4.1541
청정기,7,2,1,3,False,0.0,0.0,1.7167,2,2,1.0,1.0,1.32,1.0667,0.0,4.1541,False,,0.0,4.1541,청정기,청정기,청정기,1,2,4.1541
인코딩,13,7,1,3,False,0.0,0.0,2.7417,2,6,0.2857,0.8571,0.4628,1.0571,0.0,4.1427,False,,0.0,4.1427,인코딩,인코딩,인코딩,1,7,4.1427
파라미터,18,9,1,4,False,0.0,0.0,3.325,0,7,0.0,0.7778,0.0,1.0111,0.0,4.1339,False,,0.0,4.1339,파라미터,파라미터,파라미터,1,9,4.1339
컴퓨터 판독,2,2,2,5,False,0.0,0.0,1.6833,2,2,1.0,1.0,1.32,1.0667,0.0,4.1207,False,,0.0,4.1207,컴퓨터 판독,컴퓨터 판독,컴퓨터 판독,1,2,4.1207
테스트 코드,8,2,2,5,False,0.0,0.0,2.0833,2,1,1.0,0.5,1.32,0.5333,0.0,4.0939,False,,0.0,4.0939,테스트 코드,테스트 코드,테스트 코드,1,2,4.0939
혼합물,16,6,1,3,False,0.0,0.0,2.8167,1,6,0.1667,1.0,0.26,1.2,0.0,4.0887,False,,0.0,4.0887,혼합물,혼합물,혼합물,1,6,4.0887
가이드,19,10,1,3,False,0.0,0.0,3.4,0,10,0.0,1.0,0.0,1.3333,0.4,4.0666,False,,0.0,4.0666,가이드,가이드,가이드,1,10,4.0666
전해질,15,6,1,3,True,0.0,0.0,3.55,3,6,0.5,1.0,0.78,1.2,0.0,5.446,False,,1.4,4.045999999999999,전해질,전해질,전해질,1,6,4.045999999999999
주파수,13,6,1,3,False,0.0,0.0,2.6167,2,5,0.3333,0.8333,0.52,1.0,0.0,4.0407,False,,0.0,4.0407,주파수,주파수,주파수,1,6,4.0407
AAV,4,2,1,3,True,0.0,0.0,2.0167,2,1,1.0,0.5,1.32,0.5333,0.0,4.0273,False,,0.0,4.0273,AAV,AAV,AAV,1,2,4.0273
베이스,26,12,1,3,False,0.0,0.0,3.4,0,11,0.0,0.9167,0.0,1.2834,0.4,4.0267,False,,0.0,4.0267,베이스,베이스,베이스,1,12,4.0267
백라이트,5,2,1,4,False,0.0,0.0,1.5833,2,2,1.0,1.0,1.32,1.0667,0.0,4.0207,False,,0.0,4.0207,백라이트,백라이트,백라이트,1,2,4.0207
아크릴,13,7,1,3,False,0.0,0.0,2.7417,1,7,0.1429,1.0,0.2315,1.2333,0.0,4.0061,False,,0.0,4.0061,아크릴,아크릴,아크릴,1,7,4.0061
업데이트,11,4,1,4,False,0.0,0.0,2.2333,2,4,0.5,1.0,0.72,1.1333,0.0,4.0039,False,,0.0,4.0039,업데이트,업데이트,업데이트,1,4,4.0039
지지대,17,4,1,3,False,0.0,0.0,2.6333,1,4,0.25,1.0,0.36,1.1333,0.0,3.9719,False,,0.0,3.9719,지지대,지지대,지지대,1,4,3.9719
프로그램 제품,6,5,2,6,False,0.0,0.0,2.325,3,3,0.6,0.6,0.9,0.7,0.0,3.965,False,,0.0,3.965,프로그램 제품,프로그램 제품,프로그램 제품,1,5,3.965
카트리지,9,3,1,4,False,0.0,0.0,1.975,2,3,0.6667,1.0,0.92,1.1,0.0,3.959,False,,0.0,3.959,카트리지,카트리지,카트리지,1,3,3.959
윤활유,4,2,1,3,False,0.0,0.0,1.5167,2,2,1.0,1.0,1.32,1.0667,0.0,3.9541,False,,0.0,3.9541,윤활유,윤활유,윤활유,1,2,3.9541
컴퓨팅,16,6,1,3,False,0.0,0.0,2.8167,1,5,0.1667,0.8333,0.26,1.0,0.0,3.9287,False,,0.0,3.9287,컴퓨팅,컴퓨팅,컴퓨팅,1,6,3.9287
파일럿,15,2,1,3,False,0.0,0.0,2.25,1,2,0.5,1.0,0.66,1.0667,0.0,3.8954,False,,0.0,3.8954,파일럿,파일럿,파일럿,1,2,3.8954
레티클 컨테이너,5,2,2,7,False,0.0,0.0,1.8833,2,1,1.0,0.5,1.32,0.5333,0.0,3.8939,False,,0.0,3.8939,레티클 컨테이너,레티클 컨테이너,레티클 컨테이너,1,2,3.8939
전자파 차폐,5,2,2,5,False,0.0,0.0,1.8833,2,1,1.0,0.5,1.32,0.5333,0.0,3.8939,False,,0.0,3.8939,전자파 차폐,전자파 차폐,전자파 차폐,1,2,3.8939
열처리,13,6,1,3,False,0.0,0.0,2.6167,1,6,0.1667,1.0,0.26,1.2,0.0,3.8887,False,,0.0,3.8887,열처리,열처리,열처리,1,6,3.8887
그리퍼,3,2,1,3,False,0.0,0.0,1.45,2,2,1.0,1.0,1.32,1.0667,0.0,3.8874,False,,0.0,3.8874,그리퍼,그리퍼,그리퍼,1,2,3.8874
라이트,8,4,1,3,False,0.0,0.0,2.0333,2,4,0.5,1.0,0.72,1.1333,0.0,3.8039,False,,0.0,3.8039,라이트,라이트,라이트,1,4,3.8039
HARQ,6,2,1,4,True,0.0,0.0,2.15,1,2,0.5,1.0,0.66,1.0667,0.0,3.7954,False,,0.0,3.7954,HARQ,HARQ,HARQ,1,2,3.7954
ACK,6,2,1,3,True,0.0,0.0,2.15,1,2,0.5,1.0,0.66,1.0667,0.0,3.7954,False,,0.0,3.7954,ACK,ACK,ACK,1,2,3.7954
바이러스,6,3,1,4,False,0.0,0.0,1.775,2,3,0.6667,1.0,0.92,1.1,0.0,3.759,False,,0.0,3.759,바이러스,바이러스,바이러스,1,3,3.759
트랜지스터,26,6,1,5,False,0.0,0.0,2.95,0,5,0.0,0.8333,0.0,1.0,0.0,3.75,False,,0.0,3.75,트랜지스터,트랜지스터,트랜지스터,1,6,3.75
카운터,14,3,1,3,False,0.0,0.0,2.3083,1,3,0.3333,1.0,0.46,1.1,0.0,3.7403,False,,0.0,3.7403,카운터,카운터,카운터,1,3,3.7403
캐비닛,14,3,1,3,False,0.0,0.0,2.3083,1,3,0.3333,1.0,0.46,1.1,0.0,3.7403,False,,0.0,3.7403,캐비닛,캐비닛,캐비닛,1,3,3.7403
포토레지스트,7,5,1,6,False,0.0,0.0,2.0917,3,3,0.6,0.6,0.9,0.7,0.0,3.7317,False,,0.0,3.7317,포토레지스트,포토레지스트,포토레지스트,1,5,3.7317
모니터링 시스템,8,2,2,7,False,0.0,0.0,2.0833,1,2,0.5,1.0,0.66,1.0667,0.0,3.7287,False,,0.0,3.7287,모니터링 시스템,모니터링 시스템,모니터링 시스템,1,2,3.7287
나트륨 이온,8,2,2,5,False,0.0,0.0,2.0833,1,2,0.5,1.0,0.66,1.0667,0.0,3.7287,False,,0.0,3.7287,나트륨 이온,나트륨 이온,나트륨 이온,1,2,3.7287
레티클,7,2,1,3,False,0.0,0.0,1.7167,2,1,1.0,0.5,1.32,0.5333,0.0,3.7273,False,,0.0,3.7273,레티클,레티클,레티클,1,2,3.7273
비디오,16,4,1,3,False,0.0,0.0,2.5667,1,3,0.25,0.75,0.36,0.85,0.0,3.6787,False,,0.0,3.6787,비디오,비디오,비디오,1,4,3.6787
커넥터,16,4,1,3,False,0.0,0.0,2.5667,1,3,0.25,0.75,0.36,0.85,0.0,3.6787,False,,0.0,3.6787,커넥터,커넥터,커넥터,1,4,3.6787
세라믹,13,3,1,3,False,0.0,0.0,2.2417,1,3,0.3333,1.0,0.46,1.1,0.0,3.6737,False,,0.0,3.6737,세라믹,세라믹,세라믹,1,3,3.6737
에어로,9,3,1,3,False,0.0,0.0,1.975,2,2,0.6667,0.6667,0.92,0.7334,0.0,3.6657,False,,0.0,3.6657,에어로,에어로,에어로,1,3,3.6657
PDCCH,4,2,1,5,True,0.0,0.0,2.0167,1,2,0.5,1.0,0.66,1.0667,0.0,3.6621,False,,0.0,3.6621,PDCCH,PDCCH,PDCCH,1,2,3.6621
CSI,4,2,1,3,True,0.0,0.0,2.0167,1,2,0.5,1.0,0.66,1.0667,0.0,3.6621,False,,0.0,3.6621,CSI,CSI,CSI,1,2,3.6621
방향족,11,5,1,3,False,0.0,0.0,2.3583,1,5,0.2,1.0,0.3,1.1667,0.0,3.6517,False,,0.0,3.6517,방향족,방향족,방향족,1,5,3.6517
데이터 유닛,8,3,2,5,False,0.0,0.0,2.2083,1,3,0.3333,1.0,0.46,1.1,0.0,3.6403,False,,0.0,3.6403,데이터 유닛,데이터 유닛,데이터 유닛,1,3,3.6403
중합체,12,4,1,3,False,0.0,0.0,2.3,1,4,0.25,1.0,0.36,1.1333,0.0,3.6386,False,,0.0,3.6386,중합체,중합체,중합체,1,4,3.6386
자외선,11,5,1,3,False,0.0,0.0,2.3583,2,3,0.4,0.6,0.6,0.7,0.0,3.6383,False,,0.0,3.6383,자외선,자외선,자외선,1,5,3.6383
스테이션,11,2,1,4,False,0.0,0.0,1.9833,1,2,0.5,1.0,0.66,1.0667,0.0,3.6287,False,,0.0,3.6287,스테이션,스테이션,스테이션,1,2,3.6287
폴리머,13,5,1,3,False,0.0,0.0,2.4917,1,4,0.2,0.8,0.3,0.9333,0.0,3.5983,False,,0.0,3.5983,폴리머,폴리머,폴리머,1,5,3.5983
포토레지스트 조성물,4,3,2,9,True,0.0,0.0,2.7417,1,1,0.3333,0.3333,0.46,0.3666,0.0,3.587,False,,0.0,3.587,포토레지스트 조성물,포토레지스트 조성물,포토레지스트 조성물,1,3,3.587
이미지 센서,7,3,2,5,False,0.0,0.0,2.1417,1,3,0.3333,1.0,0.46,1.1,0.0,3.5737,False,,0.0,3.5737,이미지 센서,이미지 센서,이미지 센서,1,3,3.5737
매트릭스,15,5,1,4,False,0.0,0.0,2.625,0,5,0.0,1.0,0.0,1.1667,0.0,3.5584,False,,0.0,3.5584,매트릭스,매트릭스,매트릭스,1,5,3.5584
화학식,14,8,1,3,False,0.0,0.0,2.9333,0,8,0.0,1.0,0.0,1.2667,0.4,3.5467,False,,0.0,3.5467,화학식,화학식,화학식,1,8,3.5467
드라이버,11,3,1,4,False,0.0,0.0,2.1083,1,3,0.3333,1.0,0.46,1.1,0.0,3.5403,False,,0.0,3.5403,드라이버,드라이버,드라이버,1,3,3.5403
정전기 방전,5,2,2,5,False,0.0,0.0,1.8833,1,2,0.5,1.0,0.66,1.0667,0.0,3.5287,False,,0.0,3.5287,정전기 방전,정전기 방전,정전기 방전,1,2,3.5287
레독스,4,2,1,3,False,0.0,0.0,1.5167,2,1,1.0,0.5,1.32,0.5333,0.0,3.5273,False,,0.0,3.5273,레독스,레독스,레독스,1,2,3.5273
오디오,15,3,1,3,False,0.0,0.0,2.375,1,2,0.3333,0.6667,0.46,0.7334,0.0,3.5137,False,,0.0,3.5137,오디오,오디오,오디오,1,3,3.5137
이벤트,25,6,1,3,False,0.0,0.0,2.95,0,6,0.0,1.0,0.0,1.2,0.4,3.51,False,,0.0,3.51,이벤트,이벤트,이벤트,1,6,3.51
컴퓨터 구현,6,3,2,5,False,0.0,0.0,2.075,1,3,0.3333,1.0,0.46,1.1,0.0,3.507,False,,0.0,3.507,컴퓨터 구현,컴퓨터 구현,컴퓨터 구현,1,3,3.507
