doc_id,phrase_original_in_doc,phrase_canonical,topic_id,topic_label,concept_id,is_outlier_topic
328,조성물,조성물,0,디지털 | 전해질 | 리튬,BT0001,False
329,컴퓨터 프로그램,컴퓨터 프로그램,0,디지털 | 전해질 | 리튬,BT0001,False
329,프로그램 제품,프로그램 제품,0,디지털 | 전해질 | 리튬,BT0001,False
329,컴퓨터,컴퓨터,0,디지털 | 전해질 | 리튬,BT0001,False
329,에너지,에너지,1,배터리 | 열처리 | 에너지,BT0003,False
329,프로그램,프로그램,0,디지털 | 전해질 | 리튬,BT0001,False
329,레이저,레이저,6,포토레지스트 | 레이저 | 방사선,BT0005,False
329,파라미터,파라미터,0,디지털 | 전해질 | 리튬,BT0001,False
331,방향족,방향족,0,디지털 | 전해질 | 리튬,BT0001,False
331,전해질,전해질,0,디지털 | 전해질 | 리튬,BT0001,False
331,조성물,조성물,0,디지털 | 전해질 | 리튬,BT0001,False
331,주파수,주파수,0,디지털 | 전해질 | 리튬,BT0001,False
332,플라즈마,플라즈마,0,디지털 | 전해질 | 리튬,BT0001,False
332,반도체,반도체,9,반도체 | 실리콘 | 트랜지스터,BT0002,False
333,단백질,단백질,3,유전자 | 단백질,BT0007,False
333,유전자,유전자,3,유전자 | 단백질,BT0007,False
334,중합체,중합체,0,디지털 | 전해질 | 리튬,BT0001,False
334,혼합물,혼합물,0,디지털 | 전해질 | 리튬,BT0001,False
334,조성물,조성물,0,디지털 | 전해질 | 리튬,BT0001,False
334,포토레지스트,포토레지스트,0,디지털 | 전해질 | 리튬,BT0001,False
334,포토레지스트 조성물,포토레지스트 조성물,6,포토레지스트 | 레이저 | 방사선,BT0005,False
335,콘텐츠,콘텐츠,0,디지털 | 전해질 | 리튬,BT0001,False
335,이미지,이미지,10,이미지 | 센서 | 카메라,BT0004,False
336,에너지,에너지,1,배터리 | 열처리 | 에너지,BT0003,False
336,전해질,전해질,0,디지털 | 전해질 | 리튬,BT0001,False
336,레독스,레독스,0,디지털 | 전해질 | 리튬,BT0001,False
336,배터리,배터리,1,배터리 | 열처리 | 에너지,BT0003,False
339,디바이스,디바이스,0,디지털 | 전해질 | 리튬,BT0001,False
341,컴퓨터,컴퓨터,0,디지털 | 전해질 | 리튬,BT0001,False
341,컴퓨터 구현,컴퓨터 구현,0,디지털 | 전해질 | 리튬,BT0001,False
342,자외선,자외선,6,포토레지스트 | 레이저 | 방사선,BT0005,False
342,조성물,조성물,0,디지털 | 전해질 | 리튬,BT0001,False
343,억제제,억제제,0,디지털 | 전해질 | 리튬,BT0001,False
344,컴퓨터 프로그램,컴퓨터 프로그램,0,디지털 | 전해질 | 리튬,BT0001,False
344,프로그램 제품,프로그램 제품,0,디지털 | 전해질 | 리튬,BT0001,False
344,컴퓨터,컴퓨터,0,디지털 | 전해질 | 리튬,BT0001,False
344,프로그램,프로그램,0,디지털 | 전해질 | 리튬,BT0001,False
345,오디오,오디오,0,디지털 | 전해질 | 리튬,BT0001,False
345,비디오,비디오,10,이미지 | 센서 | 카메라,BT0004,False
345,프로세스,프로세스,0,디지털 | 전해질 | 리튬,BT0001,False
345,스트림,스트림,0,디지털 | 전해질 | 리튬,BT0001,False
345,실시간,실시간,0,디지털 | 전해질 | 리튬,BT0001,False
345,콘텐츠,콘텐츠,0,디지털 | 전해질 | 리튬,BT0001,False
346,알루미늄,알루미늄,0,디지털 | 전해질 | 리튬,BT0001,False
346,알루미늄 합금,알루미늄 합금,0,디지털 | 전해질 | 리튬,BT0001,False
346,양극,양극,0,디지털 | 전해질 | 리튬,BT0001,False
347,알루미늄,알루미늄,0,디지털 | 전해질 | 리튬,BT0001,False
347,열처리,열처리,1,배터리 | 열처리 | 에너지,BT0003,False
347,리튬,리튬,0,디지털 | 전해질 | 리튬,BT0001,False
348,스트림,스트림,0,디지털 | 전해질 | 리튬,BT0001,False
348,프로세서,프로세서,0,디지털 | 전해질 | 리튬,BT0001,False
349,메모리,메모리,0,디지털 | 전해질 | 리튬,BT0001,False
349,프로세스,프로세스,0,디지털 | 전해질 | 리튬,BT0001,False
350,컨테이너,컨테이너,0,디지털 | 전해질 | 리튬,BT0001,False
350,베이스,베이스,0,디지털 | 전해질 | 리튬,BT0001,False
